session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
k1hxkkab,1,i0g0hve8,19,debate,Siguiente_etapa,1731090335,1,0,0
k1hxkkab,10,cqd95f9g,21,conflict,Introduction,1731090348,1,0,0
k1hxkkab,10,cqd95f9g,22,conflict,Decision,1731090352,1,0,0
k1hxkkab,3,sc8lbs96,21,conflict,Introduction,1731090357,1,0,0
k1hxkkab,11,ab0ukpg2,26,conflict,Decision,1731090359,2,0,0
k1hxkkab,12,ixp6t6rj,27,conflict,ResultsWaitPage,1731090359,2,0,1
k1hxkkab,11,ab0ukpg2,27,conflict,ResultsWaitPage,1731090359,2,0,1
k1hxkkab,2,3gfleihj,21,conflict,Introduction,1731090363,1,0,0
k1hxkkab,5,t38ifg4p,19,debate,Siguiente_etapa,1731090376,1,0,0
k1hxkkab,2,3gfleihj,22,conflict,Decision,1731090378,1,0,0
k1hxkkab,11,ab0ukpg2,30,conflict,Decision,1731090382,3,0,0
k1hxkkab,9,fewonbrz,22,conflict,Decision,1731090384,1,0,0
k1hxkkab,9,fewonbrz,23,conflict,ResultsWaitPage,1731090384,1,0,1
k1hxkkab,10,cqd95f9g,23,conflict,ResultsWaitPage,1731090384,1,0,1
k1hxkkab,7,2av5nbe5,19,debate,Siguiente_etapa,1731090388,1,0,0
k1hxkkab,6,vdz27tkv,21,conflict,Introduction,1731090388,1,0,0
k1hxkkab,8,akn7tcv5,22,conflict,Decision,1731090389,1,0,0
k1hxkkab,1,i0g0hve8,21,conflict,Introduction,1731090397,1,0,0
k1hxkkab,3,sc8lbs96,22,conflict,Decision,1731090420,1,0,0
k1hxkkab,4,tozx4h6f,23,conflict,ResultsWaitPage,1731090420,1,0,1
k1hxkkab,3,sc8lbs96,23,conflict,ResultsWaitPage,1731090420,1,0,1
k1hxkkab,9,fewonbrz,26,conflict,Decision,1731090420,2,0,0
k1hxkkab,3,sc8lbs96,26,conflict,Decision,1731090427,2,0,0
k1hxkkab,1,i0g0hve8,22,conflict,Decision,1731090436,1,0,0
k1hxkkab,1,i0g0hve8,23,conflict,ResultsWaitPage,1731090436,1,0,1
k1hxkkab,2,3gfleihj,23,conflict,ResultsWaitPage,1731090436,1,0,1
k1hxkkab,4,tozx4h6f,26,conflict,Decision,1731090453,2,0,0
k1hxkkab,3,sc8lbs96,27,conflict,ResultsWaitPage,1731090453,2,0,1
k1hxkkab,4,tozx4h6f,27,conflict,ResultsWaitPage,1731090453,2,0,1
k1hxkkab,7,2av5nbe5,21,conflict,Introduction,1731090457,1,0,0
k1hxkkab,2,3gfleihj,26,conflict,Decision,1731090476,2,0,0
k1hxkkab,1,i0g0hve8,26,conflict,Decision,1731090482,2,0,0
k1hxkkab,1,i0g0hve8,27,conflict,ResultsWaitPage,1731090482,2,0,1
k1hxkkab,2,3gfleihj,27,conflict,ResultsWaitPage,1731090482,2,0,1
k1hxkkab,2,3gfleihj,30,conflict,Decision,1731090490,3,0,0
k1hxkkab,3,sc8lbs96,30,conflict,Decision,1731090495,3,0,0
k1hxkkab,4,tozx4h6f,30,conflict,Decision,1731090496,3,0,0
k1hxkkab,3,sc8lbs96,31,conflict,ResultsWaitPage,1731090496,3,0,1
k1hxkkab,4,tozx4h6f,31,conflict,ResultsWaitPage,1731090496,3,0,1
k1hxkkab,1,i0g0hve8,30,conflict,Decision,1731090509,3,0,0
k1hxkkab,1,i0g0hve8,31,conflict,ResultsWaitPage,1731090509,3,0,1
k1hxkkab,2,3gfleihj,31,conflict,ResultsWaitPage,1731090509,3,0,1
k1hxkkab,3,sc8lbs96,34,conflict,Decision,1731090513,4,0,0
k1hxkkab,4,tozx4h6f,34,conflict,Decision,1731090513,4,0,0
k1hxkkab,3,sc8lbs96,35,conflict,ResultsWaitPage,1731090513,4,0,1
k1hxkkab,4,tozx4h6f,35,conflict,ResultsWaitPage,1731090513,4,0,1
k1hxkkab,1,i0g0hve8,34,conflict,Decision,1731090518,4,0,0
k1hxkkab,4,tozx4h6f,36,conflict,TotalResult,1731090525,4,0,0
k1hxkkab,7,2av5nbe5,22,conflict,Decision,1731090538,1,0,0
k1hxkkab,8,akn7tcv5,23,conflict,ResultsWaitPage,1731090538,1,0,1
k1hxkkab,7,2av5nbe5,23,conflict,ResultsWaitPage,1731090538,1,0,1
k1hxkkab,5,t38ifg4p,21,conflict,Introduction,1731090539,1,0,0
k1hxkkab,7,2av5nbe5,26,conflict,Decision,1731090553,2,0,0
k1hxkkab,3,sc8lbs96,36,conflict,TotalResult,1731090560,4,0,0
k1hxkkab,8,akn7tcv5,26,conflict,Decision,1731090568,2,0,0
k1hxkkab,8,akn7tcv5,27,conflict,ResultsWaitPage,1731090568,2,0,1
k1hxkkab,7,2av5nbe5,27,conflict,ResultsWaitPage,1731090568,2,0,1
k1hxkkab,12,ixp6t6rj,30,conflict,Decision,1731090576,3,0,0
k1hxkkab,12,ixp6t6rj,31,conflict,ResultsWaitPage,1731090577,3,0,1
k1hxkkab,11,ab0ukpg2,31,conflict,ResultsWaitPage,1731090577,3,0,1
k1hxkkab,8,akn7tcv5,30,conflict,Decision,1731090596,3,0,0
k1hxkkab,7,2av5nbe5,30,conflict,Decision,1731090610,3,0,0
k1hxkkab,8,akn7tcv5,31,conflict,ResultsWaitPage,1731090611,3,0,1
k1hxkkab,7,2av5nbe5,31,conflict,ResultsWaitPage,1731090611,3,0,1
k1hxkkab,5,t38ifg4p,22,conflict,Decision,1731090614,1,0,0
k1hxkkab,7,2av5nbe5,34,conflict,Decision,1731090617,4,0,0
k1hxkkab,11,ab0ukpg2,34,conflict,Decision,1731090625,4,0,0
k1hxkkab,6,vdz27tkv,22,conflict,Decision,1731090627,1,0,0
k1hxkkab,6,vdz27tkv,23,conflict,ResultsWaitPage,1731090627,1,0,1
k1hxkkab,5,t38ifg4p,23,conflict,ResultsWaitPage,1731090627,1,0,1
k1hxkkab,12,ixp6t6rj,34,conflict,Decision,1731090628,4,0,0
k1hxkkab,12,ixp6t6rj,35,conflict,ResultsWaitPage,1731090629,4,0,1
k1hxkkab,11,ab0ukpg2,35,conflict,ResultsWaitPage,1731090629,4,0,1
k1hxkkab,6,vdz27tkv,26,conflict,Decision,1731090662,2,0,0
k1hxkkab,5,t38ifg4p,26,conflict,Decision,1731090662,2,0,0
k1hxkkab,5,t38ifg4p,27,conflict,ResultsWaitPage,1731090662,2,0,1
k1hxkkab,6,vdz27tkv,27,conflict,ResultsWaitPage,1731090662,2,0,1
k1hxkkab,12,ixp6t6rj,36,conflict,TotalResult,1731090664,4,0,0
k1hxkkab,2,3gfleihj,34,conflict,Decision,1731090666,4,0,0
k1hxkkab,1,i0g0hve8,35,conflict,ResultsWaitPage,1731090666,4,0,1
k1hxkkab,2,3gfleihj,35,conflict,ResultsWaitPage,1731090666,4,0,1
k1hxkkab,11,ab0ukpg2,36,conflict,TotalResult,1731090675,4,0,0
k1hxkkab,4,tozx4h6f,37,results,Survey,1731090682,1,0,0
k1hxkkab,10,cqd95f9g,26,conflict,Decision,1731090700,2,0,0
k1hxkkab,10,cqd95f9g,27,conflict,ResultsWaitPage,1731090700,2,0,1
k1hxkkab,9,fewonbrz,27,conflict,ResultsWaitPage,1731090700,2,0,1
k1hxkkab,2,3gfleihj,36,conflict,TotalResult,1731090701,4,0,0
k1hxkkab,10,cqd95f9g,30,conflict,Decision,1731090702,3,0,0
k1hxkkab,8,akn7tcv5,34,conflict,Decision,1731090712,4,0,0
k1hxkkab,8,akn7tcv5,35,conflict,ResultsWaitPage,1731090712,4,0,1
k1hxkkab,7,2av5nbe5,35,conflict,ResultsWaitPage,1731090712,4,0,1
k1hxkkab,6,vdz27tkv,30,conflict,Decision,1731090727,3,0,0
k1hxkkab,5,t38ifg4p,30,conflict,Decision,1731090735,3,0,0
